i	3
e	3
n	3
-	0
e	24
-	0
o	9
-	0
t	17
-	0
o	5
-	0
e	15
-	0
a	5
-	0
€	2
-	0
t	6
-	0
€	2
-	0
i	7
-	0
a	4
-	0
e	67
-	0
n	4
-	0
e	53
-	0
i	3
-	0
e	35
-	0
e	7
-	0
i	6
-	0
€	3
-	0
e	3
-	0
t	24
-	0
e	52
-	0
e	28
-	0
t	22
-	0
t	20
-	0
e	13
-	0
e	5
e	10
-	0
e	19
-	0
e	83
-	0
e	78
-	0
e	106
-	0
e	112
-	0
e	32
-	0
t	16
-	0
h	4
-	0
i	18
-	0
e	12
-	0
€	2
-	0
e	9
-	0
e	16
-	0
e	83
-	0
e	33
-	0
e	4
-	0
€	2
-	0
e	31
-	0
a	15
-	0
e	37
-	0
a	3
-	0
e	43
-	0
o	6
-	0
e	16
-	0
h	4
-	0
e	36
-	0
e	5
e	20
-	0
e	5
h	6
-	0
a	6
-	0
e	73
-	0
a	8
-	0
o	9
-	0
e	6
-	0
e	115
-	0
e	14
e	10
-	0
a	3
e	11
-	0
e	5
e	19
-	0
e	4
-	0
t	18
-	0
e	65
-	0
e	9
-	0
e	11
-	0
e	23
-	0
e	105
-	0
i	23
-	0
e	40
-	0
e	5
e	17
-	0
a	9
-	0
t	7
-	0
e	50
-	0
e	42
-	0
e	18
-	0
o	6
-	0
h	4
-	0
e	17
-	0
a	3
-	0
e	10
-	0
e	30
-	0
e	106
-	0
e	40
-	0
o	14
-	0
i	8
-	0
e	13
-	0
e	38
-	0
e	13
-	0
e	15
-	0
e	97
-	0
e	6
-	0
e	12
-	0
e	5
-	0
€	3
-	0
e	3
-	0
e	5
-	0
h	3
-	0
€	2
-	0
e	5
-	0
e	3
-	0
a	4
-	0
€	2
-	0
e	4
-	0
e	5
-	0
e	7
-	0
e	46
-	0
e	139
-	0
e	60
-	0
e	66
-	0
e	34
-	0
e	25
-	0
o	12
-	0
h	15
-	0
e	9
-	0
e	3
-	0
e	22
-	0
e	29
-	0
i	5
-	0
e	32
-	0
o	4
-	0
e	6
-	0
€	4
-	0
e	34
-	0
e	5
-	0
t	11
-	0
e	25
-	0
e	46
-	0
e	10
-	0
t	13
-	0
€	3
-	0
e	23
-	0
e	46
-	0
e	15
-	0
e	25
-	0
e	3
-	0
e	24
-	0
s	6
-	0
e	39
-	0
e	26
-	0
€	2
-	0
€	2
-	0
e	10
-	0
€	2
-	0
e	7
-	0
a	8
-	0
e	47
-	0
o	42
-	0
t	59
-	0
e	124
-	0
e	108
-	0
e	130
-	0
e	102
-	0
.	6
-	0
e	21
-	0
e	4
-	0
i	6
-	0
e	4
-	0
e	13
-	0
.	3
-	0
t	15
-	0
e	16
-	0
d	4
-	0
e	83
-	0
e	6
-	0
e	29
-	0
e	43
-	0
e	7
-	0
o	4
-	0
o	5
-	0
t	4
-	0
e	6
-	0
h	3
-	0
e	5
-	0
e	14
-	0
e	17
-	0
a	37
-	0
e	25
-	0
e	47
-	0
e	29
-	0
s	6
-	0
h	8
-	0
e	25
-	0
d	8
-	0
e	24
-	0
e	42
-	0
e	56
-	0
e	38
-	0
e	3
-	0
e	15
-	0
e	55
-	0
e	14
-	0
i	15
-	0
s	5
-	0
e	94
-	0
e	141
-	0
e	15
-	0
i	3
-	0
e	3
-	0
o	14
-	0
e	22
-	0
a	5
-	0
n	7
-	0
e	5
e	53
-	0
e	45
